src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_packets,bidirectional_first_seen_ms,ground_truth,predicted,gt_bin,pred_bin
10.3.1.214,10.3.2.38,54236,80,6,10,1787884378647,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,54242,80,6,10,1787884379654,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,54998,80,6,10,1787884380662,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,55002,80,6,10,1787884381670,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,55018,80,6,10,1787884382680,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,55030,80,6,10,1787884383688,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,55042,80,6,10,1787884384695,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,55054,80,6,10,1787884385702,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,55058,80,6,10,1787884386709,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,55062,80,6,10,1787884387717,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,55064,80,6,10,1787884388724,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,47198,80,6,10,1787884389731,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,47204,80,6,10,1787884390739,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,47208,80,6,10,1787884391746,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,47220,80,6,10,1787884392753,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,47224,80,6,10,1787884393760,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,47226,80,6,10,1787884394767,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,47232,80,6,10,1787884395774,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,47234,80,6,10,1787884396782,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,47242,80,6,10,1787884397789,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,47244,80,6,10,1787884398796,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,41306,80,6,10,1787884399804,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,41316,80,6,10,1787884400811,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,41328,80,6,10,1787884401818,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,41344,80,6,10,1787884402826,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,41346,80,6,10,1787884403833,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,41356,80,6,10,1787884404840,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,57320,22,6,22,1787884405849,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,57336,22,6,33,1787884406126,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,57350,22,6,29,1787884406126,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,57366,22,6,33,1787884406126,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,57372,22,6,29,1787884406127,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34238,80,6,19,1787884417217,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34254,80,6,19,1787884417217,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34266,80,6,19,1787884417217,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34276,80,6,19,1787884417217,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34286,80,6,19,1787884417218,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34296,80,6,19,1787884417218,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34300,80,6,19,1787884417218,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34310,80,6,19,1787884417218,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34318,80,6,19,1787884417218,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34320,80,6,19,1787884417219,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34324,80,6,19,1787884417219,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34334,80,6,19,1787884417219,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34336,80,6,19,1787884417219,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34342,80,6,19,1787884417219,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34354,80,6,19,1787884417219,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34370,80,6,19,1787884417219,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34374,80,6,19,1787884417220,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34376,80,6,19,1787884417220,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34382,80,6,19,1787884417220,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34396,80,6,19,1787884417220,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34408,80,6,19,1787884417220,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34412,80,6,19,1787884417220,SSH-Bruteforce,DoS attacks-Slowloris,1,1
